Organization Name,Mission Statement,Website Link
Equitas Health,"Our mission is to be the gateway to good health for those at risk of or affected by HIV/AIDS, for the LGBTQ community, and for those seeking a welcoming healthcare home.",http://www.equitashealth.com
Dobama Theatre,"Dobama Theatre’s mission is to premiere the best contemporary plays by established and emerging playwrights in professional productions of the highest quality. Through educational and outreach programming, Dobama Theatre nurtures the developmen...",http://www.dobama.org
SouthernCare Hospice/Curo health services,Our mission is to honor life and offer compassionate care to patients and families when facing a life-limiting illness.,n/a
Cincy Blues Society,To promote and advance the culture and tradition of Blues music as an original American art form.,https://cincyblues.org
ESPERANZA THREADS INC,To improve the lives of individuals with barriers to employment through sewing training in practices that protect health of the people and the environment while preparing them for fairly paid jobs.,http://esperanzathreads.org
PAINESVILLE COMMUNITY IMPROVEMENT CORPORATION,"The Painesville Community Improvement Corporation is a 501(c)3 non-profit organization that was formed in 1977. The purpose of the PCIC is to be active in the physical, social and economic revitalization of Painesville and those communities surroundi...",http://www.painesvilleimprovement.com/
Stan Hywet Hall & Gardens,"Stan Hywet Hall & Gardens’ mission is to preserve and share our historic estate and serve as a resource for educational, cultural and recreational enrichment.",http://stanhywet.org
SICSA Pet Adoption Center,"Promoting the welfare and adoption of companion animals, and nurturing loving and lifelong relationships between animals and people.",http://www.sicsa.org
Mercy Medical Center Hospice,To inspire hope and improve the quality of life to those patients entrusted to our care.,http://donna.indovina@mmchomehospicecare.com
UNLIMITED BLESSINGS COMMUNITY OUTREACH SERVICES CORPORATION,Our Missionis to bring continual growth and empowerment throughout the global communities to benefit public interest.,http://www.ubcoscorporation.org
ENVIRONMENTAL HEALTH WATCH INC,"Mission To create healthy homes and sustainable communities by identifying and removing hazards, engaging people, and advancing equitable environmental solutions. Vision A future where all children, families, and individuals are living in healthy hom...",http://www.ehw.org
BLOC Ministries,"BLOC Ministries lives and works in under-served communities to offer positive choices, build relationships, and strengthen students, families and communities in consistent, stable, personal and long-term ways",http://www.blochead.org
HOPE MEADOWS FOUNDATION,"Transforming lives of horses and humans; mind, body, and spirit, through hands-on, experiential, and equine assisted psychotherapy and learning techniques.",http://www.hopemeadowsoh.org
Northeast Ohio Hospice,Northeast Ohio Hospice promotes the hospice concept of caring and encourages and aids in the development of quality hospice programs for terminally ill patients and their families. We educate the public about hospice care and respond to the needs of ...,http://northeastohiohospice.org/
Special Spaces Columbus,We are a 501c3 nonprofit organization creating dream bedrooms for children with life-threatening illnesses in the Central-Ohio area.,http://www.specialspaces.org
HARVARD SQUARE CENTER,To develop individuals and families above profit. Fostering to serve the community by offering programs and resources that will transform lives personally and professionally in order to build stronger communities.,http://www.theharvardsquarecenter.com
Cleveland Clinic Hospice,Cleveland Clinic Hospice believes no one facing a life-limiting illness needs to walk alone: volunteers are needed to provide comfort and support to patients and their loved ones.,https://my.clevelandclinic.org/departments/connected-care/services/hospice#volunteer-tab
BUCKEYE COMMUNITY HOPE FOUNDATION,"Develop and facility housing for low income seniors, families and disabled persons.",n/a
Parker Hannifin Downtown YMCA,"To put Christian principles into practice through programs that build healthy spirit, body and mind for all.",https://www.clevelandymca.org/
SouthernCare Hospice-Wintersville,"To honor life and offer compassion to individuals, and their families, when facing a life-limiting illness.",http://www.southerncarehospice.com/
Center for Arts-Inspired Learning,"The Center for Arts-Inspired Learning ignites student learning, creativity, and success through the arts.",http://arts-inspiredlearning.org
Retired & Senior Volunteer Program (RSVP) of Wayne County,To engage men and women age 55 and better in meaningful volunteer service that strengthens the well being of both self and community.,http://rsvp.fcsohio.org/
Mayerson JCC,"The JCC provides cultural, social, educational and recreational programs to the Jewish community and the general community of Greater Cincinnati.",http://www.jointhej.org
"Lissette Quinones Ministreis, Inc.","Empowering individuals and families in the community to become self sufficient, through education, advocacy, and spiritual growth.",n/a
